CÓDIGO ,CALLE ,NÚMERO ,LOCALIDAD ,PROVINCIA ,HORARIOS 
NCH,SAN MARTIN GENERAL JOSE DE,384,PUERTO IGUAZU,MISIONES,LUN A VIE 08.00 A 14.00
NBW,SANTA FE,205,OBERA,MISIONES,LUN A VIE 08.00 A 14.00
HBZ,9 DE JULIO,920,FORMOSA,FORMOSA,LUN A VIE 08.00 A 14.00 / SAB 08.00 A 14.00
QAY,SANTA FE,101,NEUQUEN,NEUQUEN,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 13.00
CUT,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,660,CUTRAL CO,NEUQUEN,LUN A VIE 09.00 A 17.00
QBW,MOSCONI GENERAL ENRIQUE,168,RINCON DE LOS SAUCES,NEUQUEN,LUN A VIE 09.00 A 16.00
APZ,SAN MARTIN,324,ZAPALA,NEUQUEN,LUN A VIE 09.00 A 17.00
CPC,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,690,SAN MARTIN DE LOS ANDES,NEUQUEN,LUN A VIE 09.00 A 17.00
DRL,MORENO PERITO FRANCISCO P,175,SAN CARLOS DE BARILOCHE,RIO NEGRO,LUN A VIE 09.00 A 17.00
QFE,SAN MARTIN,2860,EL BOLSON,RIO NEGRO,LUN A VIE 09.00 A 16.00
QBB,IBAÑEZ TENIENTE PRIMERO,5,CIPOLLETTI,RIO NEGRO,LUN A VIE 09.00 A 16.00
GNR,ROCA PRESIDENTE GENERAL JULIO ARGENTINO,1462,GENERAL ROCA,RIO NEGRO,LUN A VIE 09.00 A 17.00
QCT,SARMIENTO DOMINGO FAUSTINO,98,VILLA REGINA,RIO NEGRO,LUN A VIE 09.00 A 17.00
VDM,RIVADAVIA BERNARDINO,151,VIEDMA,RIO NEGRO,LUN A VIE 09.00 A 17.00
OES,BROWN ALMIRANTE GUILLERMO,305,SAN ANTONIO OESTE,RIO NEGRO,LUN A VIE 09.00 A 16.00
BR1,RIVADAVIA BERNARDINO,830,SAN CARLOS DE BARILOCHE,RIO NEGRO,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
SNQ,MENDOZA,2430,SANTA FE,SANTA FE,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
SNY,9 DE JULIO,3501,SANTA FE,SANTA FE,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
ISX,SAN MARTIN GENERAL JOSE DE,1231,ESPERANZA,SANTA FE,LUN A VIE 08.00 A 18.00
SKA,MORENO DOCTOR MARIANO,104,RAFAELA,SANTA FE,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
RCQ,9 DE JULIO,745,RECONQUISTA,SANTA FE,LUN A VIE 08.00 A 18.00
IQU,ALVEAR,2517,SANTO TOME,SANTA FE,LUN A VIE 08.00 A 18.00
SKW,BELGRANO MANUEL,192,SUNCHALES,SANTA FE,LUN A VIE 08.00 A 18.00
SOP,LA RIOJA,2558,SANTA FE,SANTA FE,LUN A VIE 08.00 A 18.00
SA1,CORDOBA,721,ROSARIO,SANTA FE,LUN A VIE 08.00 A 18.00 / SAB 08.00 A 14.00
SAC,ALEM LEANDRO NICEFORO,1755,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAD,CORDOBA,2401,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAE,CORRIENTES,1676,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAG,LAGOS OVIDIO,1199,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SA8,RONDEAU GENERAL JOSE,1144,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAM,RIOJA,1702,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SAP,SAN MARTIN GENERAL JOSE DE,5650,ROSARIO,SANTA FE,LUN A VIE 08.00 A 18.00
SAQ,PARAGUAY,818,ROSARIO,SANTA FE,LUN A VIE 08.00 A 18.00
SA6,AVELLANEDA NICOLAS,2215,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SA7,PERON EVA,7003,ROSARIO,SANTA FE,LUN A VIE 08.00 A 15.00
SDS,SARMIENTO DOMINGO FAUSTINO,96,CAÑADA DE GOMEZ,SANTA FE,LUN A VIE 08.00 A 15.00
SCW,DE LA TORRE DOCTOR LISANDRO,2371,CASILDA,SANTA FE,LUN A VIE 08.00 A 15.00
SEZ,BERUTTI,1135,FIRMAT,SANTA FE,LUN A VIE 08.00 A 15.00
SCT,CORRIENTES,1096,GRANADERO BAIGORRIA,SANTA FE,LUN A VIE 08.00 A 15.00
SFY,CENTENARIO,298,RUFINO,SANTA FE,LUN A VIE 08.00 A 15.00
SDF,SAN MARTIN GENERAL JOSE DE,1202,SAN LORENZO,SANTA FE,LUN A VIE 08.00 A 15.00
SEK,SAAVEDRA,497,VENADO TUERTO,SANTA FE,LUN A VIE 08.00 A 15.00
SFR,SAN MARTIN GENERAL JOSE DE,802,VILLA CONSTITUCION,SANTA FE,LUN A VIE 08.00 A 15.00
TAA,CORDOBA PROVINCIA DE,540,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 08.00 A 17.00 / SAB 08.00 A 14.00
TBP,ASUNCION,925,SAN MIGUEL DE TUCUMAN,TUCUMAN,LUN A VIE 08.00 A 15.00
TGU,AVELLANEDA,305,CONCEPCION,TUCUMAN,LUN A VIE 09.00 A 16.00
UAN,SAN MARTIN,180,COMODORO RIVADAVIA,CHUBUT,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
UBL,MITRE BARTOLOME,315,TRELEW,CHUBUT,LUN A VIE 09.00 A 17.00
FMA,ALVEAR,1192,ESQUEL,CHUBUT,LUN A VIE 09.00 A 15.00
UCW,MAIZ GOBERNADOR ALEJANDRO,293,PUERTO MADRYN,CHUBUT,LUN A VIE 09.00 A 17.00 / SAB 09.00 A 14.00
UCM,VACCHINA BERNARDO,22,RAWSON,CHUBUT,LUN A VIE 09.00 A 17.00
RGA,RIVADAVIA BERNARDINO,968,RIO GRANDE,TIERRA DEL FUEGO,LUN A VIE 09.00 A 16.00
VAE,SAN MARTIN GENERAL JOSE DE,309,USHUAIA,TIERRA DEL FUEGO,LUN A VIE 09.00 A 16.30 / SAB 09.00 A 14.00
WBZ,SAN JUAN,1098,CORRIENTES,CORRIENTES,LUN A VIE 08.00 A 19.00 / SAB 08.00 A 14.00
UZU,BELGRANO GENERAL MANUEL,942,GOYA,CORRIENTES,LUN A VIE 07.00 A 13.30
WDV,BERON DE ASTRADA,999,CURUZU CUATIA,CORRIENTES,LUN A VIE 07.00 A 13.30
AOL,SITJANIN JUAN,998,PASO DE LOS LIBRES,CORRIENTES,LUN A VIE 07.00 A 13.30
XFZ,COLON,210,CORDOBA,CORDOBA,LUN A VIE 09.00 A 17.00 / SAB 08.00 A 14.00
XCH,JUSTO DOCTOR JUAN BAUTISTA,3479,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XCJ,COLON,2547,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
ONT,RODRIGUEZ JUAN,1351,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00
ONU,CABRERA MONSEÑOR PABLO,3160,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00
ONV,NUÑEZ RAFAEL,3782,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XCN,FUERZA AEREA ARGENTINA,2921,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00
XCO,BAS ARTURO M,251,CORDOBA,CORDOBA,LUN A VIE 08.00 A 14.00
ONX,VELEZ SARSFIELD DOCTOR DALMACIO,3458,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XLE,LIBERTADOR,577,ALTA GRACIA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XKK,TUCUMAN,1069,COSQUIN,CORDOBA,LUN A VIE 09.00 A 16.00
XMQ,SARMIENTO,15,JESUS MARIA,CORDOBA,LUN A VIE 09.00 A 16.00
XKQ,ARGENTINA,184,LA FALDA,CORDOBA,LUN A VIE 09.00 A 16.00
XAB,ALBERDI JUAN BAUTISTA,198,SAN FRANCISCO,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XJW,SAN MARTIN,199,VILLA CARLOS PAZ,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XPO,ITALIA,299,VILLA DOLORES,CORDOBA,LUN A VIE 08.00 A 15.00
OPS,PAZ GENERAL,624,RIO CUARTO,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
XBE,CORDOBA,599,BELL VILLE,CORDOBA,LUN A VIE 09.00 A 16.00
XBY,ALEM LEANDRO NICEFORO,352,MARCOS JUAREZ,CORDOBA,LUN A VIE 09.00 A 16.00
XOU,DE BUONO INTENDENTE,81,RIO TERCERO,CORDOBA,LUN A VIE 09.00 A 16.00
XQR,CATAMARCA,1190,VILLA MARIA,CORDOBA,LUN A VIE 09.00 A 16.00 / SAB 08.00 A 14.00
YAX,BELGRANO GENERAL MANUEL,1136,SAN SALVADOR DE JUJUY,JUJUY,LUN A VIE 08.00 A 16.00 / SAB 08.00 A 14.00
ZAC,KIRCHNER PRESIDENTE DOCTOR NESTOR CARLOS,893,RIO GALLEGOS,SANTA CRUZ,LUN A VIE 08.00 A 18.00 / SAB 09.00 A 14.00
ZBE,DEL LIBERTADOR GRAL SAN MARTIN,1133,EL CALAFATE,SANTA CRUZ,LUN A VIE 09.00 A 16.00
UBA,YRIGOYEN PRESIDENTE HIPOLITO,194,CALETA OLIVIA,SANTA CRUZ,LUN A VIE 09.00 A 17.00
UBE,RIVADAVIA BERNARDINO,455,PICO TRUNCADO,SANTA CRUZ,LUN A VIE 09.00 A 16.00
PUD,SAN MARTIN GENERAL JOSE DE,1075,PUERTO DESEADO,SANTA CRUZ,LUN A VIE 09.00 A 16.00
BFA,AZCUENAGA,2,CABILDO,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BJN,44,1871,SAN CARLOS,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BHS,473 BIS,1357,CITY BELL,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BIH,44,5278,LISANDRO OLMOS,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BHQ,CAMINO CENTENARIO,322,VILLA ELISA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
KBK,RIVADAVIA BERNARDINO,198,ANDALGALA,CATAMARCA,LUN A VIE 08.00 A 15.00
KBU,SAN MARTIN,543,BELEN,CATAMARCA,LUN A VIE 08.00 A 15.00
KEM,SABAGH DOCTOR RAUL,100,RECREO,CATAMARCA,LUN A VIE 08.00 A 15.00
KFQ,MORENO DOCTOR MARIANO,785,TINOGASTA,CATAMARCA,LUN A VIE 08.00 A 15.00
HGU,DE CARLO MONSEÑOR NICOLAS,490,CHARATA,CHACO,LUN A VIE 08.00 A 14.00
HFZ,SARMIENTO Nº 355,                              ,JUAN JOSE CASTELLI,CHACO,LUN A VIE 08.00 A 14.00
UBI,CORONEL INGENIERO,307,SARMIENTO,CHUBUT,LUN A VIE 09.00 A 16.00
ONW,ALEM LEANDRO NICEFORO,602,CORDOBA,CORDOBA,LUN A VIE 09.00 A 16.00
XHZ,GONZALEZ ELPIDIO,61,VILLA ALLENDE,CORDOBA,LUN A VIE 08.00 A 14.30
XIH,SANTA ROSA,235,SALSIPUEDES,CORDOBA,LUN A VIE 08.00 A 15.00
XTQ,SARMIENTO DOMINGO FAUSTINO,1193,RIO SEGUNDO,CORDOBA,LUN A VIE 09.00 A 16.00
WCT,CORRIENTES,689,BELLA VISTA,CORRIENTES,LUN A VIE 07.00 A 13.30
WEG,RIVADAVIA,599,MERCEDES,CORRIENTES,LUN A VIE 07.00 A 13.30
WAH,ALVEAR,1199,MONTE CASEROS,CORRIENTES,LUN A VIE 07.00 A 13.30
EGR,9 DE JULIO,1117,LA PAZ,ENTRE RIOS,LUN A VIE 08.00 A 15.00
EEX,9 DE JULIO,701,NOGOYA,ENTRE RIOS,LUN A VIE 08.00 A 15.00
HCN,FERNANDEZ CANCIO JOSE,1401,CLORINDA,FORMOSA,LUN A VIE 08.00 A 14.00
YBP,SIRIA REPUBLICA DE,101,PALPALA,JUJUY,LUN A VIE 08.00 A 15.00
LAA,FRANCIA,1443,REALICO,LA PAMPA,LUN A VIE 09.00 A 17.00
FDB,9 DE JULIO,100,CHAMICAL,LA RIOJA,LUN A VIE 08.00 A 15.00
MBI,MATHUS HOYOS,3600,BERMEJO,MENDOZA,LUN A VIE 08.30 A 14.00
MB0,SARMIENTO DOMINGO FAUSTINO,1494,LAS HERAS,MENDOZA,LUN A VIE 08.30 A 15.30
MAX,1 DE MAYO,7640,CARRODILLA LA PUNTILLA,MENDOZA,LUN A VIE 08.00 A 15.30
MBE,50,4783,RODEO DEL MEDIO,MENDOZA,LUN A VIE 08.00 A 15.00
NBM,SARMIENTO,334,APOSTOLES,MISIONES,LUN A VIE 08.00 A 13.00
NAN,GUEMES GENERAL MARTIN MIGUEL DE,1,LEANDRO N ALEM,MISIONES,LUN A VIE 08.00 A 13.00
QAL,SAN MARTIN,370,CENTENARIO,NEUQUEN,LUN A VIE 09.00 A 16.00
QAT,ELORDI GOBERNADOR,160,PLOTTIER,NEUQUEN,LUN A VIE 09.00 A 16.00
QCX,DON BOSCO,602,JUNIN DE LOS ANDES,NEUQUEN,LUN A VIE 09.00 A 15.00
ABS,SIERRA CAPITAN JOSE IGNACIO,358,SAN JOSE DE METAN,SALTA,LUN A VIE 08.00 A 15.00
JDA,SAN MARTIN,493,SAN JOSE DE JACHAL,SAN JUAN,LUN A VIE 08.00 A 15.00
DCW,PRINGLES CORONEL JUAN PASCUAL,232,TILISARAO,SAN LUIS,LUN A VIE 09.00 A 13.00
DCA,GARCIARENA,193,LA TOMA,SAN LUIS,LUN A VIE 09.00 A 15.00
DEA,MERCAU CORONEL NICASIO,579,MERLO,SAN LUIS,LUN A VIE 10.00 A 16.30
ULA,SAN MARTIN GENERAL JOSE DE,155,PUERTO SAN JULIAN,SANTA CRUZ,LUN A VIE 09.00 A 16.00
IUC,12,692,AVELLANEDA,SANTA FE,LUN A VIE 08.00 A 14.30
SBZ,MORENO,1454,FUNES,SANTA FE,LUN A VIE 08.00 A 15.00
SBR,FILIPPINI,1972,VILLA GOBERNADOR GALVEZ,SANTA FE,LUN A VIE 08.00 A 15.00
SJT,BELGRANO MANUEL,735,GALVEZ,SANTA FE,LUN A VIE 08.00 A 14.30
TFG,ACONQUIJA,2021,YERBA BUENA,TUCUMAN,LUN A VIE 08.00 A 15.00
AFF,GUEMES GENERAL MARTIN MIGUEL DE,99,AGUARAY,SALTA,LUN A VIE 08.00 A 14.00
ACC,PEYROTTI GENERAL JUAN B,100,APOLINARIO SARAVIA,SALTA,LUN A VIE 08.00 A 14.00
AAU,GUEMES GENERAL MARTIN MIGUEL DE,102,CACHI,SALTA,LUN A VIE 08.00 A 13.00
ABE,GUEMES,197,CAFAYATE,SALTA,LUN A VIE 09.00 A 14.00
AAK,9 DE JULIO,601,CAMPO QUIJANO,SALTA,LUN A VIE 08.00 A 14.00
AAG,AMEGHINO FLORENTINO,215,CERRILLOS,SALTA,LUN A VIE 08.00 A 13.00
ABB,MORILLO DOCTOR ADOLFO,195,CHICOANA,SALTA,LUN A VIE 08.00 A 14.00
ADW,SAN MARTIN,318,COLONIA SANTA ROSA,SALTA,LUN A VIE 08.00 A 14.00
AAY,D ANDREA LUCIO,100,EL CARRIL,SALTA,LUN A VIE 08.00 A 13.00
ABX,SAN MARTIN GENERAL JOSE DE,569,EL GALPON,SALTA,LUN A VIE 08.00 A 14.00
AE0,24 DE SEPTIEMBRE,351,EMBARCACION,SALTA,LUN A VIE 08.00 A 15.00
AFB,20 DE FEBRERO,0,GENERAL ENRIQUE MOSCONI,SALTA,LUN A VIE 08.00 A 14.00
ABH,CABRED DOCTOR DOMINGO,201,GENERAL GUEMES,SALTA,LUN A VIE 08.00 A 14.00
AEE,GUEMES GENERAL MARTIN MIGUEL DE,0,HIPOLITO YRIGOYEN,SALTA,LUN A VIE 08.00 A 14.00
ACB,BELGRANO GENERAL MANUEL,315,JOAQUIN V GONZALEZ,SALTA,LUN A VIE 08.00 A 14.00
ADZ,SARMIENTO,625,PICHANAL,SALTA,LUN A VIE 08.00 A 14.00
AFH,SAN MARTIN,198,SALVADOR MAZZA,SALTA,LUN A VIE 08.00 A 15.00
AEA,PERON JUAN DOMINGO,100,RIVADAVIA,SALTA,LUN A VIE 08.00 A 14.00
TIR,SALTA PROVINCIA DE,296,ROSARIO DE LA FRONTERA,SALTA,LUN A VIE 08.00 A 14.00
AAI,PELLEGRINI CARLOS,201,ROSARIO DE LERMA,SALTA,LUN A VIE 08.00 A 14.00
ACU,BELGRANO GENERAL MANUEL,20,SAN ANTONIO DE LOS COBRES,SALTA,LUN A VIE 08.00 A 14.00
TFZ,YRIGOYEN PRESIDENTE HIPOLITO,153,EL TALA,SALTA,LUN A VIE 08.00 A 14.00
YCK,SAN MARTIN GENERAL JOSE DE,0,IRUYA,SALTA,LUN A VIE 08.00 A 13.00
AMQ,URQUIZA GENERAL JUSTO JOSE DE,998,SALTA,SALTA,LUN A VIE 08.00 A 15.00
AFI,SALTA,0,SANTA VICTORIA ESTE,SALTA,LUN A VIE 08.00 A 14.00
JCQ,HOUSSAY DOCTOR BERNARDO,0,SALTA,SALTA,LUN A VIE 08.00 A 15.00
MCY,SANTA FE,0,LAS LAJITAS,SALTA,LUN A VIE 08.00 A 14.00
CGJ,BUENOS AIRES,7479,VILLA BALLESTER,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CKU,IRIGOYEN DOCTOR BERNARDO DE,2647,BOULOGNE,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CLM,PARANA,3745,MARTINEZ,BUENOS AIRES,LUN A VIE 10.00 A 20.00 / SAB 10.00 A 13.00
CGG,FLORIDA,3063,VILLA MARQUES DE AGUADO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CHA,DIAZ GENERAL PEDRO,444,VILLA SANTOS TESEI,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CF5,SEGUI ALMIRANTE FRANCISCO JOSE,1722,GRAND BOURG,BUENOS AIRES,LUN A VIE 11.00 A 18.00
BDW,BENAVIDEZ,2680,BENAVIDEZ,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CI6,BALANCIN DE RODRIGUEZ VIUDA ENFERMERA REINALDA,3865,CIUDAD EVITA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CJJ,MITRE,2204,JOSE MARMOL,BUENOS AIRES,LUN A VIE 10.00 A 18.00
BBA,RIVERA,2407,VILLA CELINA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
CJ6,COLON,3395,RAFAEL CALZADA,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CI5,SANCHEZ DE THOMPSON MARIQUITA,10,LA TABLADA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CIV,CENTENARIO URUGUAYO,1471,LANUS ESTE,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CJB,ANTARTIDA ARGENTINA,45,TURDERA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CKG,SABIN DOCTOR ALBERTO,2009,RANELAGH,BUENOS AIRES,LUN A VIE 10.00 A 18.00
CHX,SANTA CRUZ,1071,RAFAEL CASTILLO,BUENOS AIRES,LUN A VIE 11.00 A 18.00
BHW,SARMIENTO,50,GLEW,BUENOS AIRES,LUN A VIE 10.00 A 18.00
GKJ,ESTEVEZ BOMBERO,5443,GUILLERMO E HUDSON,BUENOS AIRES,LUN A VIE 09.00 A 16.00
CJG,BUENOS AIRES,1758,LUIS GUILLON,BUENOS AIRES,LUN A VIE 10.00 A 18.00
HHD,455,721,JUAN MARIA GUTIERREZ,BUENOS AIRES,LUN A VIE 08.00 A 14.00
HJU,RICCHERI TENIENTE GENERAL PABLO,0,TAPIALES,BUENOS AIRES,LUN A VIE 09.00 A 16.00
CKH,GENERAL BELGRANO CAMINO,6385,FLORENCIO VARELA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CH5,JUSTO DOCTOR JUAN BAUTISTA,2670,LIBERTAD,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CHK,DIRECTORIO,202,SAN ANTONIO DE PADUA,BUENOS AIRES,LUN A VIE 11.00 A 18.00
CHQ,DEL CARRIL DOCTOR SALVADOR MARIA,52,PASO DEL REY,BUENOS AIRES,LUN A VIE 11.00 A 18.00
RTE,LA NACION DIARIO,2052,FRANCISCO ALVAREZ,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BJP,64,666,LA PLATA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BIM,138,1398,LOS HORNOS,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BI3,520,1422,TOLOSA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BZA,PERON PRESIDENTE JUAN DOMINGO,4984,ALEJANDRO KORN,BUENOS AIRES,LUN A VIE 08.00 A 13.00
BRX,YRIGOYEN PRESIDENTE HIPOLITO,744,AYACUCHO,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BJD,CALLAO,4419,BERISSO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BNZ,BELGRANO MANUEL,1611,CACHARI,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BMZ,RIVADAVIA,210,CASTELLI,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BKB,ITUZAINGO,1167,BRANDSEN,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BML,BUENOS AIRES,132,DOLORES,BUENOS AIRES,LUN A VIE 09.00 A 16.00 / SAB 09.00 A 14.00
BPA,SAN MARTIN GENERAL JOSE DE,1191,GENERAL ALVEAR,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BOI,LARREA,632,GENERAL BELGRANO,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BMM,ROSAS BRIGADIER GENERAL JUAN MANUEL DE,86,GENERAL CONESA,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BNL,AVELLANEDA,564,LAS FLORES,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BOT,CHACABUCO,299,LOBOS,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BIT,GOENAGA DOCTOR PEDRO,811,MAGDALENA,BUENOS AIRES,LUN A VIE 09.00 A 15.00
BYG,BELGRANO DOCTOR MANUEL,2097,MARCOS PAZ,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BOF,BELGRANO GENERAL MANUEL,423,SAN MIGUEL DEL MONTE,BUENOS AIRES,LUN A VIE 08.00 A 15.00
BHT,502,2032,MANUEL B GONNET,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IIU,SAN MARTIN,152,ALBERTI,BUENOS AIRES,LUN A VIE 12.00 A 17.00
ICM,VIAMONTE,221,AMERICA,BUENOS AIRES,LUN A VIE 09.00 A 15.00
IFU,ALVEAR GENERAL CARLOS MARIA DE,202,BOLIVAR,BUENOS AIRES,LUN A VIE 09.00 A 13.00
IFF,MAYA ANTONIO,253,CARLOS CASARES,BUENOS AIRES,LUN A VIE 09.00 A 15.00
IKM,SARMIENTO DOMINGO FAUSTINO,621,CARMEN DE ARECO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IAF,CURUTCHET DOCTOR VALENTIN,145,GENERAL ARENALES,BUENOS AIRES,LUN A VIE 09.00 A 13.00
IBI,BUENOS AIRES,677,GERMANIA,BUENOS AIRES,LUN A VIE 08.00 A 12.00
IEA,ALMAFUERTE,601,HENDERSON,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IBO,25 DE MAYO,98,LINCOLN,BUENOS AIRES,LUN A VIE 09.00 A 12.00
IAP,AVELLANEDA,464,LOS TOLDOS,BUENOS AIRES,LUN A VIE 09.00 A 15.00
INO,25 DE MAYO,597,ROJAS,BUENOS AIRES,LUN A VIE 09.00 A 15.00
ICZ,STROEDER HUGO,5,SALLIQUELO,BUENOS AIRES,LUN A VIE 09.00 A 13.00
IOG,SARMIENTO,86,SALTO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IKH,SAN MARTIN MAESTRO SOULE,501,SAN ANDRES DE GILES,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IHY,SAN MARTIN,213,SUIPACHA,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IDL,9 DE JULIO,649,TRES LOMAS,BUENOS AIRES,LUN A VIE 09.00 A 14.00
IAZ,DUNCKLER RODOLFO,102,VEDIA,BUENOS AIRES,LUN A VIE 08.00 A 14.00
IJL,11,825,25 DE MAYO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IOF,BELGRANO DOCTOR MANUEL,42,ARRECIFES,BUENOS AIRES,LUN A VIE 09.00 A 16.00
IQG,ARAOZ PEDRO MIGUEL,999,BARADERO,BUENOS AIRES,LUN A VIE 09.00 A 14.00
OBQ,YRIGOYEN PRESIDENTE HIPOLITO,709,CAPILLA DEL SEÑOR,BUENOS AIRES,LUN A VIE 09.00 A 15.00
IOD,47,850,COLON,BUENOS AIRES,LUN A VIE 09.00 A 15.00
IPN,BENITO DE CORDOVA EMILIA,335,LA EMILIA,BUENOS AIRES,LUN A VIE 09.00 A 13.00
OBL,11,171,LIMA,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BXV,MELO SALVADOR,319,MATHEU,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BYB,RIVADAVIA,389,PRESIDENTE DERQUI,BUENOS AIRES,LUN A VIE 09.00 A 13.00
IOZ,DEL VALLE ARISTOBULO,355,SAN ANTONIO DE ARECO,BUENOS AIRES,LUN A VIE 09.00 A 16.00
BGS,ALEM LEANDRO NICEFORO,140,TORNQUIST,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BHO,URQUIJO DE SEXE FRANCISCA,170,VILLALONGA,BUENOS AIRES,VIERNES 09.00 A 13.00 / LUN Y MIER 09.00 A 13.00
BBQ,PAZ GENERAL,267,ADOLFO GONZALES CHAVES,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BBI,28,375,BALNEARIO CLAROMECO,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BGL,FARO RECALADA,363,MONTE HERMOSO,BUENOS AIRES,LUN A VIE 09.00 A 14.00
BRR,MORENO DOCTOR MARIANO,2,BENITO JUAREZ,BUENOS AIRES,LUN A VIE 08.00 A 14.00
BHK,PINCEN CACIQUE,102,BORDENAVE,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BAF,MITRE BARTOLOME,998,CARHUE,BUENOS AIRES,LUN A VIE 09.00 A 15.00
RAF,PARAGUAY,38,CARMEN DE PATAGONES,BUENOS AIRES,LUN A VIE 08.00 A 12.00
BPO,CORTAZAR MARIO TEOFILO,1172,CHILLAR,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BGI,SANTAGADA DOCTOR NIRIDO EDILBERTO,645,CORONEL DORREGO,BUENOS AIRES,LUN A VIE 09.00 A 13.30
BBW,CABRERA JUAN,405,CORONEL PRINGLES,BUENOS AIRES,LUN A VIE 09.00 A 13.00
BCG,ALSINA DOCTOR ADOLFO,270,CORONEL SUAREZ,BUENOS AIRES,LUN A VIE 09.00 A 13.00
IFZ,LEVALLE GENERAL NICOLAS,53,DAIREAUX,BUENOS AIRES,LUN A VIE 09.00 A 15.00
BHG,NIEHAUS PADRE,195,DARREGUEIRA,BUENOS AIRES,LUN A VIE 09.00 A 15.00
BAK,ALSINA,653,GUAMINI,BUENOS AIRES,LUN A VIE 09.00 A 13.00
